Año,Mes,Correo oficial  + Correos Privados (en Pesos),,,,id,año,trimestre,tipo,servicio,indicador,valor,unidad,observaciones
2024,Junio,101694076169,,,,,2024,2,Información Económica,Servicios Postales,Ingresos Postales,"499,683,951,944.63",Miles de $,Información acumulada
2024,Mayo,102135265840,,,,,,,,,,,,
2024,Abril,87165866276,,,,,,,,,,,,
2024,Marzo,76726780790,,,,,,,,,,,,
2024,Febrero,67014082090,,,,,,,,,,,,
2024,Enero,64947880780,,,,,,,,,,,,
2023,Diciembre,55880090552,,,,,,,,,,,,
2023,Noviembre,50307510472,,,,,,,,,,,,
2023,Octubre,42780111483,,,,,,,,,,,,
2023,Septiembre,37466147879,,,,,,,,,,,,
2023,Agosto,35535370946,,,,,,,,,,,,
2023,Julio,30128554863,,,,,,,,,,,,
2023,Junio,28071519853,,,,,,,,,,,,
2023,Mayo,28293950010,,,,,,,,,,,,
2023,Abril,22716247246,,,,,,,,,,,,
2023,Marzo,21526839361,,,,,,,,,,,,
2023,Febrero,19206657219,,,,,,,,,,,,
2023,Enero,20729235745,,,,,,,,,,,,
2022,Diciembre,17385200928,,,,,,,,,,,,
2022,Noviembre,15908122008,,,,,,,,,,,,
2022,Octubre,14879779910,,,,,,,,,,,,
2022,Septiembre,16148259213,,,,,,,,,,,,
2022,Agosto,14491656961,,,,,,,,,,,,
2022,Julio,13643665484,,,,,,,,,,,,
2022,Junio,14906733192,,,,,,,,,,,,
2022,Mayo,12381928697,,,,,,,,,,,,
2022,Abril,10689873281,,,,,,,,,,,,
2022,Marzo,10756314668,,,,,,,,,,,,
2022,Febrero,9065659151,,,,,,,,,,,,
2022,Enero,8792445189,,,,,,,,,,,,
2021,Diciembre,9262515373,,,,,,,,,,,,
2021,Noviembre,9048156002,,,,,,,,,,,,
2021,Octubre,7957372235,,,,,,,,,,,,
2021,Septiembre,7470905335,,,,,,,,,,,,
2021,Agosto,7141996732,,,,,,,,,,,,
2021,Julio,7097958783,,,,,,,,,,,,
2021,Junio,7282833832,,,,,,,,,,,,
2021,Mayo,6615825846,,,,,,,,,,,,
2021,Abril,6246276789,,,,,,,,,,,,
2021,Marzo,6384360964,,,,,,,,,,,,
2021,Febrero,4953127041,,,,,,,,,,,,
2021,Enero,5165724452,,,,,,,,,,,,
2020,Diciembre,5736078881,,,,,,,,,,,,
2020,Noviembre,5618104580,,,,,,,,,,,,
2020,Octubre,5453111538,,,,,,,,,,,,
2020,Septiembre,5646104386,,,,,,,,,,,,
2020,Agosto,6119709989,,,,,,,,,,,,
2020,Julio,5093539478,,,,,,,,,,,,
2020,Junio,5021454350,,,,,,,,,,,,
2020,Mayo,4193539215,,,,,,,,,,,,
2020,Abril,3255984789,,,,,,,,,,,,
